,Hospital,Address,Coordinates
193,清水區清水里,"436, Taiwan, 台中市清水區清水里","(24.262885, 120.5717998)"
194,清水區文昌里,"436, Taiwan, 台中市清水區文昌里","(24.2702087, 120.5764757)"
195,清水區南寧里,"436, Taiwan, 台中市清水區南寧里","(24.2679162, 120.5732385)"
196,清水區西寧里,"436, Taiwan, 台中市清水區西寧里","(24.2742846, 120.5746773)"
197,清水區北寧里,"436, Taiwan, 台中市清水區北寧里","(24.2745708, 120.5779144)"
198,清水區中興里,"436, Taiwan, 台中市清水區中興里","(24.2712275, 120.5779144)"
199,清水區西社里,"436, Taiwan, 台中市清水區西社里","(24.2705275, 120.5674834)"
200,清水區南社里,"436, Taiwan, 台中市清水區南社里","(24.2622472, 120.5595696)"
201,清水區裕嘉里,"436, Taiwan, 台中市清水區裕嘉里","(24.2907795, 120.5696416)"
202,東區金山里,"300, Taiwan, 新竹市東區金山里","(24.7661976, 121.0249093)"
203,東區明湖里,"300, Taiwan, 新竹市東區明湖里","(24.7726674, 120.9732917)"
204,北區西門里,"300, Taiwan, 新竹市北區西門里","(24.8047373, 120.9648659)"
205,北區潛園里,"300, Taiwan, 新竹市北區潛園里","(24.8046883, 120.9628938)"
206,北區北門里,"300, Taiwan, 新竹市北區北門里","(24.8101924, 120.9650452)"
207,北區文雅里,"300, Taiwan, 新竹市北區文雅里","(24.8134254, 120.961101)"
208,北區武陵里,"300, Taiwan, 新竹市北區武陵里","(24.8177715, 120.9654037)"
209,北區舊港里,"300, Taiwan, 新竹市北區舊港里","(24.8461499, 120.9374332)"
210,北區中寮里,"300, Taiwan, 新竹市北區中寮里","(24.8361449, 120.9345641)"
211,北區磐石里,"300, Taiwan, 新竹市北區磐石里","(24.8117438, 120.9567981)"
212,北區湳中里,"300, Taiwan, 新竹市北區湳中里","(24.8214406, 120.966838)"
213,尖石鄉玉峰村,"313, Taiwan, 新竹縣尖石鄉玉峰村","(24.5522657, 121.3655989)"
214,尖石鄉秀巒村,"313, Taiwan, 新竹縣尖石鄉秀巒村","(24.5600513, 121.2855249)"
215,五峰鄉桃山村,"311, Taiwan, 新竹縣五峰鄉桃山村","(24.559407, 121.1022942)"
216,五峰鄉大隘村,"311, Taiwan, 新竹縣五峰鄉大隘村","(24.6193062, 121.0965637)"
217,北埔鄉外坪村,"314, Taiwan, 新竹縣北埔鄉外坪村","(24.645849, 121.0736389)"
218,峨眉鄉七星村,"315, Taiwan, 新竹縣峨眉鄉七星村","(24.6563163, 121.0277763)"
219,清水區臨江里,"436, Taiwan, 台中市清水區臨江里","(24.2926913, 120.5610085)"
220,清水區秀水里,"436, Taiwan, 台中市清水區秀水里","(24.2739666, 120.5610085)"
221,清水區武鹿里,"436, Taiwan, 台中市清水區武鹿里","(24.278149, 120.558692)"
222,清水區海濱里,"436, Taiwan, 台中市清水區海濱里","(24.2940926, 120.5365449)"
223,清水區中社里,"436, Taiwan, 台中市清水區中社里","(24.2751113, 120.5437406)"
224,峨眉鄉湖光村,"315, Taiwan, 新竹縣峨眉鄉湖光村","(24.6748187, 120.9933678)"
225,峨眉鄉富興村,"315, Taiwan, 新竹縣峨眉鄉富興村","(24.6967413, 120.9790281)"
226,寶山鄉寶斗村,"308, Taiwan, 新竹縣寶山鄉寶斗村","(24.7179614, 120.956081)"
227,寶山鄉深井村,"308, Taiwan, 新竹縣寶山鄉深井村","(24.7205754, 120.9446058)"
228,香山區南隘里,"300, Taiwan, 新竹市香山區南隘里","(24.7285201, 120.9331295)"
229,香山區中隘里,"300, Taiwan, 新竹市香山區中隘里","(24.731133, 120.9216522)"
230,清水區高西里,"436, Taiwan, 台中市清水區高西里","(24.3106529, 120.5523748)"
231,清水區高南里,"436, Taiwan, 台中市清水區高南里","(24.302246, 120.5480578)"
232,清水區高東里,"436, Taiwan, 台中市清水區高東里","(24.3106442, 120.5825901)"
233,清水區高北里,"436, Taiwan, 台中市清水區高北里","(24.3251701, 120.5653251)"
234,臺西鄉富琦村,"636, Taiwan, 雲林縣台西鄉富琦村","(23.7134819, 120.225308)"
235,臺西鄉永豐村,"636, Taiwan, 雲林縣台西鄉永豐村","(23.7260693, 120.1978952)"
236,東區文華里,"300, Taiwan, 新竹市東區文華里","(24.8147998, 120.9725746)"
237,北區光田里,"300, Taiwan, 新竹市北區光田里","(24.8157834, 120.9682722)"
238,北區西雅里,"300, Taiwan, 新竹市北區西雅里","(24.802089, 120.9582324)"
239,東區柴橋里,"300, Taiwan, 新竹市東區柴橋里","(24.7649775, 120.9661209)"
240,東區湖濱里,"300, Taiwan, 新竹市東區湖濱里","(24.780967, 120.9661209)"
241,東區光鎮里,"300, Taiwan, 新竹市東區光鎮里","(24.7889615, 120.9661209)"
242,東區中正里,"300, Taiwan, 新竹市東區中正里","(24.8050481, 120.9700649)"
243,東區親仁里,"300, Taiwan, 新竹市東區親仁里","(24.808215, 120.970782)"
244,香山區東香里,"300, Taiwan, 新竹市香山區東香里","(24.7712664, 120.956081)"
245,香山區虎林里,"300, Taiwan, 新竹市香山區虎林里","(24.8081824, 120.9403023)"
246,香山區頂埔里,"300, Taiwan, 新竹市香山區頂埔里","(24.7994019, 120.9524951)"
247,香山區頂福里,"300, Taiwan, 新竹市香山區頂福里","(24.7875614, 120.9489091)"
248,香山區中埔里,"300, Taiwan, 新竹市香山區中埔里","(24.7983743, 120.945323)"
249,北區南勢里,"300, Taiwan, 新竹市北區南勢里","(24.8030496, 120.9481919)"
250,北區舊社里,"300, Taiwan, 新竹市北區舊社里","(24.8263081, 120.977594)"
251,東區復興里,"701, Taiwan, 台南市東區復興里","(22.9815131, 120.2375698)"
252,東區前溪里,"300, Taiwan, 新竹市東區前溪里","(24.8180069, 120.9847642)"
253,北區南寮里,"300, Taiwan, 新竹市北區南寮里","(24.8408197, 120.9374332)"
254,東區中山里,"600, Taiwan, 嘉義市東區中山里","(23.4838971, 120.460966)"
255,東區王田里,"600, Taiwan, 嘉義市東區王田里","(23.4855435, 120.4688858)"
256,東區興仁里,"600, Taiwan, 嘉義市東區興仁里","(23.4581337, 120.462406)"
257,東區芳安里,"600, Taiwan, 嘉義市東區芳安里","(23.4648322, 120.462406)"
258,東區宣信里,"600, Taiwan, 嘉義市東區宣信里","(23.471686, 120.4570058)"
259,東區興南里,"600, Taiwan, 嘉義市東區興南里","(23.4703981, 120.4552057)"
260,布袋鎮見龍里,"625, Taiwan, 嘉義縣布袋鎮見龍里","(23.3781041, 120.1805789)"
261,中埔鄉三層村,"606, Taiwan, 嘉義縣中埔鄉三層村","(23.3674615, 120.5135161)"
262,義竹鄉東光村,"624, Taiwan, 嘉義縣義竹鄉東光村","(23.3629953, 120.2455033)"
263,布袋鎮東港里,"625, Taiwan, 嘉義縣布袋鎮東港里","(23.3756583, 120.1921233)"
264,中埔鄉中崙村,"606, Taiwan, 嘉義縣中埔鄉中崙村","(23.3691037, 120.5682028)"
265,鹿草鄉光潭村,"611, Taiwan, 嘉義縣鹿草鄉光潭村","(23.3804047, 120.2772325)"
